Indexcd,Trddt,Clsindex,Retindex
300,2006/8/22,1285.268,0.011574
300,2006/8/23,1285.68,0.000321
300,2006/8/24,1292.401,0.005228
300,2006/8/25,1295.437,0.002349
300,2006/8/28,1325.894,0.023511
300,2006/8/29,1330.155,0.003214
300,2006/8/30,1334.671,0.003395
300,2006/8/31,1338.694,0.003014
300,2006/9/1,1318.099,-0.015384
300,2006/9/4,1337.243,0.014524
300,2006/9/5,1340.682,0.002572
300,2006/9/6,1346.367,0.00424
300,2006/9/7,1328.377,-0.013362
300,2006/9/8,1332.153,0.002843
300,2006/9/11,1338.755,0.004956
300,2006/9/12,1347.639,0.006636
300,2006/9/13,1338.386,-0.006866
300,2006/9/14,1338.278,-0.000081
300,2006/9/15,1362.322,0.017966
300,2006/9/18,1375.563,0.009719
300,2006/9/19,1378.309,0.001996
300,2006/9/20,1378.459,0.000109
300,2006/9/21,1387.37,0.006464
300,2006/9/22,1374.852,-0.009023
300,2006/9/25,1372.399,-0.001784
300,2006/9/26,1357.646,-0.01075
300,2006/9/27,1371.117,0.009922
300,2006/9/28,1387.002,0.011585
300,2006/9/29,1403.265,0.011725
300,2006/10/9,1436.074,0.02338
300,2006/10/10,1437.245,0.000815
300,2006/10/11,1435.906,-0.000932
300,2006/10/12,1426.5,-0.006551
300,2006/10/13,1430.882,0.003072
300,2006/10/16,1418.517,-0.008642
300,2006/10/17,1414.448,-0.002868
300,2006/10/18,1437.593,0.016363
300,2006/10/19,1439.377,0.001241
300,2006/10/20,1440.182,0.000559
300,2006/10/23,1408.715,-0.021849
300,2006/10/24,1440.054,0.022247
300,2006/10/25,1446.825,0.004702
300,2006/10/26,1456.095,0.006407
300,2006/10/27,1439.05,-0.011706
300,2006/10/30,1446.239,0.004996
300,2006/10/31,1464.473,0.012608
300,2006/11/1,1479.409,0.010199
300,2006/11/2,1479.656,0.000167
300,2006/11/3,1488.291,0.005836
300,2006/11/6,1507.891,0.013169
300,2006/11/7,1516.104,0.005447
300,2006/11/8,1498.173,-0.011827
300,2006/11/9,1524.714,0.017716
300,2006/11/10,1504.062,-0.013545
300,2006/11/13,1475.779,-0.018804
300,2006/11/14,1493.776,0.012195
300,2006/11/15,1534.762,0.027438
300,2006/11/16,1533.288,-0.00096
300,2006/11/17,1562.084,0.018781
300,2006/11/20,1593.158,0.019893
300,2006/11/21,1612.249,0.011983
300,2006/11/22,1624.028,0.007306
300,2006/11/23,1634.914,0.006703
300,2006/11/24,1636.58,0.001019
300,2006/11/27,1651.801,0.0093
300,2006/11/28,1644.014,-0.004714
300,2006/11/29,1667.142,0.014068
300,2006/11/30,1714.358,0.028322
300,2006/12/1,1729.224,0.008671
300,2006/12/4,1780.736,0.029789
300,2006/12/5,1794.231,0.007578
300,2006/12/6,1779.411,-0.00826
300,2006/12/7,1775.714,-0.002078
300,2006/12/8,1711.584,-0.036115
300,2006/12/11,1789.924,0.04577
300,2006/12/12,1802.788,0.007187
300,2006/12/13,1803.856,0.000592
300,2006/12/14,1836.143,0.017899
300,2006/12/15,1867.636,0.017152
300,2006/12/18,1916.108,0.025954
300,2006/12/19,1921.444,0.002785
300,2006/12/20,1936.547,0.00786
300,2006/12/21,1908.985,-0.014233
